Index,country,gender,age,WUR2000,WUR2001,WUR2002,WUR2003,WUR2004,WUR2005,WUR2006,WUR2007,WUR2008,WUR2009,WUR2010,WUR2011,WUR2012,WUR2013,WUR2014,WUR2015,WUR2016,WUR2017,WUR2018,WUR2019,WUR2020,WUR2021,WUR2022,WUR2023,WUR2024,WUR2025
141,Saint Lucia,Sex: Total,"Age (Youth, adults): 15-24",27.304,30.624,33.712,37.175,38.67,35.092,30.63,27.193,25.42,31.315,35.462,39.702,40.967,48.594,47.945,47.037,45.705,44.72,41.634,35.634,43.902,43.845,30.784,36.35,40.263,41.899
142,Samoa,Sex: Total,"Age (Youth, adults): 15-24",10.799,11.552,11.883,12.289,12.814,13.169,13.565,13.955,14.254,14.429,14.416,14.64,17.268,17.283,17.221,17.755,18.331,19.095,19.319,19.575,21.484,21.132,20.354,19.391,19.108,18.874
143,Saudi Arabia,Sex: Total,"Age (Youth, adults): 15-24",22.534,24.067,27.637,30.459,33.05,34.611,35.01,30.137,29.484,29.957,29.462,29.355,27.983,29.608,30.35,28.979,24.495,31.27,29.491,24.809,27.513,19.774,15.997,15.607,15.523,14.985
144,Senegal,Sex: Total,"Age (Youth, adults): 15-24",8.275,8.372,8.73,10.195,11.744,12.972,14.809,14.539,14.131,13.614,13.072,12.738,11.584,10.57,9.218,8.044,6.369,5.838,5.962,4.046,4.721,4.596,4.208,4.151,4.048,3.898
145,Serbia,Sex: Total,"Age (Youth, adults): 15-24",28.227,28.851,31.468,35.199,41.791,47.154,48.033,43.63,35.096,41.418,46.435,51.168,51.191,49.419,47.61,43.234,34.953,31.87,29.652,27.461,26.615,25.469,24.253,21.475,19.819,18.283
146,Sierra Leone,Sex: Total,"Age (Youth, adults): 15-24",7.569,7.696,7.251,7.213,5.11,5.76,6.252,6.671,7.101,7.565,8.066,8.517,8.776,8.966,9.463,8.48,7.034,5.376,3.571,3.578,4.053,3.962,3.633,3.637,3.639,3.611
147,Singapore,Sex: Total,"Age (Youth, adults): 15-24",7.065,7.682,11.142,10.112,10.813,10.669,8.87,8.777,9.153,12.911,9.83,9.264,8.944,9.352,8.774,9.363,9.14,9.66,8.605,7.657,10.596,10.115,8.383,7.57,8.262,8.36
148,Slovakia,Sex: Total,"Age (Youth, adults): 15-24",36.615,38.868,37.407,33.394,32.992,30.283,26.842,20.496,19.071,27.427,33.765,33.483,34.128,33.733,26.749,26.566,22.271,18.955,14.967,16.139,19.452,21.204,19.714,19.274,18.724,18.3
149,Slovenia,Sex: Total,"Age (Youth, adults): 15-24",16.328,18.295,16.664,17.44,16.273,15.985,13.865,10.369,10.589,13.807,14.795,15.916,20.785,21.668,20.444,16.431,15.31,11.263,8.869,8.132,14.204,12.838,10.143,8.73,8.267,7.725
150,Solomon Is.,Sex: Total,"Age (Youth, adults): 15-24",3.598,3.669,3.69,3.54,3.425,3.348,3.387,3.438,3.464,3.487,2.896,2.343,1.792,1.25,1.27,1.273,1.275,1.273,1.272,1.284,1.463,1.417,3.073,2.994,2.977,2.923
